,flow (MWh),congestion price from ($/MWh),congestion price to ($/MWh)
C7-12,172.051312,0.000000,0.000000
C7-13,189.645650,0.000000,0.000000
C7-14,214.911271,0.000000,0.000000
C7-15,-45.461567,0.000000,0.000000
C7-16,21.812233,0.000000,0.000000
C7-17,13.059269,0.000000,0.000000
C7-18,66.071902,0.000000,0.000000
C7-19,82.453302,0.000000,0.000000
C7-20,68.752123,0.000000,0.000000
C7-21,64.225433,0.000000,0.000000
C7-22,74.198080,0.000000,0.000000
C7-23,44.368798,0.000000,0.000000
C7-24,-4.499265,0.000000,0.000000
C8-1,-55.614535,0.000000,0.000000
C8-2,-54.049627,0.000000,0.000000
C8-3,-54.219765,0.000000,0.000000
C8-4,-38.926818,0.000000,0.000000
C8-5,-47.401255,0.000000,0.000000
C8-6,-55.336243,0.000000,0.000000
C8-7,-62.809100,0.000000,0.000000
C8-8,-61.392172,0.000000,0.000000
C8-9,-85.411404,0.000000,0.000000
C8-10,-92.887148,0.000000,0.000000
C8-11,-58.376381,0.000000,0.000000
C8-12,-67.736619,0.000000,0.000000
C8-13,-68.129812,0.000000,0.000000
C8-14,-70.059799,0.000000,0.000000
C8-15,-77.402187,0.000000,0.000000
C8-16,-80.840816,0.000000,0.000000
C8-17,-70.867951,0.000000,0.000000
C8-18,-68.147996,0.000000,0.000000
C8-19,-68.190400,0.000000,0.000000
C8-20,-67.513430,0.000000,0.000000
C8-21,-72.893075,0.000000,0.000000
C8-22,-69.592877,0.000000,0.000000
C8-23,-62.563977,0.000000,0.000000
C8-24,-58.658228,0.000000,0.000000
C9-1,-14.470937,0.000000,0.000000
C9-2,-14.733278,0.000000,0.000000
C9-3,-16.099446,0.000000,0.000000
C9-4,-6.328550,0.000000,0.000000
C9-5,8.088117,0.000000,0.000000
C9-6,-10.697130,0.000000,0.000000
C9-7,-8.123716,0.000000,0.000000
C9-8,-5.083816,0.000000,0.000000
C9-9,-60.421457,0.000000,0.000000
C9-10,-73.457828,0.000000,0.000000
C9-11,-25.852216,0.000000,0.000000
C9-12,-21.685505,0.000000,0.000000
C9-13,-14.981958,0.000000,0.000000
C9-14,-12.748821,0.000000,0.000000
C9-15,-39.820954,0.000000,0.000000
C9-16,-26.774455,0.000000,0.000000
C9-17,-16.615036,0.000000,0.000000
C9-18,-6.391783,0.000000,0.000000
C9-19,-6.381418,0.000000,0.000000
C9-20,-6.546749,0.000000,0.000000
C9-21,-14.268976,0.000000,0.000000
C9-22,-12.014868,0.000000,0.000000
C9-23,-5.661463,0.000000,0.000000
C9-24,-7.806328,0.000000,0.000000
C10-1,-45.405909,0.000000,0.000000
C10-2,-43.953980,0.000000,0.000000
C10-3,-44.671409,0.000000,0.000000
C10-4,-38.882405,0.000000,0.000000
C10-5,-29.472366,0.000000,0.000000
C10-6,-43.726201,0.000000,0.000000
C10-7,-46.244551,0.000000,0.000000
C10-8,-47.684903,0.000000,0.000000
C10-9,-84.909093,0.000000,0.000000
C10-10,-94.942227,0.000000,0.000000
C10-11,-67.090309,0.000000,0.000000
C10-12,-64.448466,0.000000,0.000000
C10-13,-59.968829,0.000000,0.000000
C10-14,-58.478454,0.000000,0.000000
C10-15,-75.129166,0.000000,0.000000
C10-16,-66.278908,0.000000,0.000000
C10-17,-61.576532,0.000000,0.000000
C10-18,-61.549949,0.000000,0.000000
C10-19,-61.555450,0.000000,0.000000
C10-20,-59.893023,0.000000,0.000000
C10-21,-62.607270,0.000000,0.000000
C10-22,-57.579727,0.000000,0.000000
C10-23,-48.690880,0.000000,0.000000
C10-24,-45.751138,0.000000,0.000000
C11-1,-53.325688,0.000000,0.000000
C11-2,-50.992566,0.000000,0.000000
C11-3,-50.775071,0.000000,0.000000
C11-4,-50.419171,0.000000,0.000000
C11-5,-50.933249,0.000000,0.000000
C11-6,-54.353844,0.000000,0.000000
C11-7,-60.621639,0.000000,0.000000
C11-8,-65.189022,0.000000,0.000000
C11-9,-68.787567,0.000000,0.000000
C11-10,-71.496362,0.000000,0.000000
C11-11,-73.117684,0.000000,0.000000
C11-12,-73.869029,0.000000,0.000000
C11-13,-73.710851,0.000000,0.000000
C11-14,-73.789940,0.000000,0.000000
C11-15,-73.097912,0.000000,0.000000
C11-16,-72.801329,0.000000,0.000000
C11-17,-74.659918,0.000000,0.000000
C11-18,4.501898,0.000000,0.000000
C11-19,4.482126,0.000000,0.000000
C11-20,0.963159,0.000000,0.000000
C11-21,-12.298007,0.000000,0.000000
C11-22,-37.364048,0.000000,0.000000
C11-23,-66.138089,0.000000,0.000000
C11-24,-59.929611,0.000000,0.000000
C12-1-1,-88.863515,0.000000,0.000000
C12-1-2,-85.173455,0.000000,0.000000
C12-1-3,-84.396883,0.000000,0.000000
C12-1-4,-77.564464,0.000000,0.000000
C12-1-5,-91.527900,0.000000,0.000000
C12-1-6,-91.590419,0.000000,0.000000
C12-1-7,-104.851387,0.000000,0.000000
C12-1-8,-108.488699,0.000000,0.000000
C12-1-9,-104.007379,0.000000,0.000000
C12-1-10,-105.853114,0.000000,0.000000
C12-1-11,-73.650301,0.000000,0.000000
C12-1-12,-82.680241,0.000000,0.000000
C12-1-13,-86.871824,0.000000,0.000000
C12-1-14,-88.220289,0.000000,0.000000
C12-1-15,-86.936320,0.000000,0.000000
C12-1-16,-121.469731,0.000000,0.000000
C12-1-17,-116.993361,0.000000,0.000000
C12-1-18,-89.209474,0.000000,0.000000
C12-1-19,-89.266362,0.000000,0.000000
C12-1-20,-89.134536,0.000000,0.000000
C12-1-21,-94.456489,0.000000,0.000000
C12-1-22,-102.956083,0.000000,0.000000
C12-1-23,-111.570959,0.000000,0.000000
C12-1-24,-101.224299,0.000000,0.000000
C13-2-1,-37.411715,0.000000,0.000000
C13-2-2,-35.576940,0.000000,0.000000
C13-2-3,-35.838486,0.000000,0.000000
C13-2-4,-41.828133,0.000000,0.000000
C13-2-5,-29.082034,0.000000,0.000000
C13-2-6,-37.119483,0.000000,0.000000
C13-2-7,-38.700653,0.000000,0.000000
C13-2-8,-42.828906,0.000000,0.000000
C13-2-9,-58.881580,0.000000,0.000000
C13-2-10,-63.450271,0.000000,0.000000
C13-2-11,-35.542376,0.000000,0.000000
C13-2-12,-26.808286,0.000000,0.000000
C13-2-13,-23.708805,0.000000,0.000000
C13-2-14,-20.005955,0.000000,0.000000
C13-2-15,-34.534536,0.000000,0.000000
C13-2-16,-50.923816,0.000000,0.000000
C13-2-17,-51.692991,0.000000,0.000000
C13-2-18,-20.514031,0.000000,0.000000
C13-2-19,-20.503964,0.000000,0.000000
C13-2-20,-20.773707,0.000000,0.000000
C13-2-21,-24.953192,0.000000,0.000000
C13-2-22,-34.514102,0.000000,0.000000
C13-2-23,-45.044036,0.000000,0.000000
C13-2-24,-40.689020,0.000000,0.000000
C14-1,1.777471,0.000000,0.000000
C14-2,1.821466,0.000000,0.000000
C14-3,-1.355213,0.000000,0.000000
C14-4,-21.599003,0.000000,0.000000
C14-5,51.735136,0.000000,0.000000
C14-6,10.067658,0.000000,0.000000
C14-7,27.042716,0.000000,0.000000
C14-8,25.828316,0.000000,0.000000
C14-9,-56.558564,0.000000,0.000000
C14-10,-83.284885,0.000000,0.000000
C14-11,-13.861454,0.000000,0.000000
C14-12,42.619417,0.000000,0.000000
C14-13,47.200215,0.000000,0.000000
C14-14,40.196511,0.000000,0.000000
C14-15,-22.735606,0.000000,0.000000
C14-16,7.683298,0.000000,0.000000
C14-17,7.826158,0.000000,0.000000
C14-18,21.590421,0.000000,0.000000
C14-19,23.154075,0.000000,0.000000
C14-20,23.387085,0.000000,0.000000
C14-21,20.178950,0.000000,0.000000
C14-22,21.450946,0.000000,0.000000
C14-23,22.080688,0.000000,0.000000
C14-24,15.723183,0.000000,0.000000
C15-1,16.618923,0.000000,0.000000
C15-2,16.065583,0.000000,0.000000
C15-3,13.306088,0.000000,0.000000
C15-4,-5.377368,0.000000,0.000000
C15-5,58.412494,0.000000,0.000000
C15-6,23.925672,0.000000,0.000000
C15-7,40.359837,0.000000,0.000000
C15-8,33.276182,0.000000,0.000000
C15-9,-51.661174,0.000000,0.000000
C15-10,-93.368339,0.000000,0.000000
C15-11,-3.007164,0.000000,0.000000
C15-12,6.233842,0.000000,0.000000
C15-13,14.036291,0.000000,0.000000
C15-14,16.642485,0.000000,0.000000
C15-15,-37.076052,0.000000,0.000000
C15-16,7.592629,0.000000,0.000000
C15-17,20.513645,0.000000,0.000000
C15-18,24.896433,0.000000,0.000000
C15-19,23.572473,0.000000,0.000000
C15-20,26.816732,0.000000,0.000000
C15-21,24.204277,0.000000,0.000000
C15-22,24.510626,0.000000,0.000000
C15-23,32.041051,0.000000,0.000000
C15-24,30.164622,0.000000,0.000000
C16-1,-97.768709,0.000000,0.000000
C16-2,-94.133611,0.000000,0.000000
C16-3,-95.348211,0.000000,0.000000
C16-4,-91.077180,0.000000,0.000000
C16-5,-68.349095,0.000000,0.000000
C16-6,-95.198811,0.000000,0.000000
C16-7,-100.576301,0.000000,0.000000
C16-8,-100.858550,0.000000,0.000000
C16-9,-144.724417,0.000000,0.000000
C16-10,-166.576090,0.000000,0.000000
C16-11,-87.814927,0.000000,0.000000
C16-12,-64.877325,0.000000,0.000000
C16-13,-74.338911,0.000000,0.000000
C16-14,-91.221711,0.000000,0.000000
C16-15,-124.482513,0.000000,0.000000
C16-16,-128.727622,0.000000,0.000000
C16-17,-118.431175,0.000000,0.000000
C16-18,-111.033836,0.000000,0.000000
C16-19,-109.576648,0.000000,0.000000
C16-20,-108.563055,0.000000,0.000000
C16-21,-114.029572,0.000000,0.000000
C16-22,-110.684858,0.000000,0.000000
C16-23,-106.339679,0.000000,0.000000
C16-24,-101.195769,0.000000,0.000000
C17-1,-82.707926,0.000000,0.000000
C17-2,-79.678990,0.000000,0.000000
C17-3,-80.470241,0.000000,0.000000
C17-4,-74.615816,0.000000,0.000000
C17-5,-61.573057,0.000000,0.000000
C17-6,-81.135999,0.000000,0.000000
C17-7,-87.062375,0.000000,0.000000
C17-8,-93.300617,0.000000,0.000000
C17-9,-139.754652,0.000000,0.000000
C17-10,-176.808560,0.000000,0.000000
C17-11,-76.800228,0.000000,0.000000
C17-12,-101.800617,0.000000,0.000000
C17-13,-107.992942,0.000000,0.000000
C17-14,-115.123825,0.000000,0.000000
C17-15,-139.034886,0.000000,0.000000
C17-16,-128.819630,0.000000,0.000000
C17-17,-105.556188,0.000000,0.000000
C17-18,-107.678967,0.000000,0.000000
C17-19,-109.152067,0.000000,0.000000
