timepoint,zone,gross_load
1,301,63.8847121736842
1,302,59.65649575263159
1,303,54.20383768736843
1,304,49.330135266315786
1,305,45.96681346105263
1,306,44.164831711578955
1,307,43.26313306421053
1,308,42.65303554105264
1,309,42.63746460947369
1,310,44.89666561263158
1,311,49.68260459052632
1,312,52.96524063789474
1,313,58.22821641789474
1,314,61.21925134105263
1,315,64.36174897894738
1,316,66.73985529789475
1,317,67.41789871578949
1,318,68.45265806842106
1,319,68.45548914947369
1,320,67.23104749894738
1,321,65.92450456105264
1,322,70.2036804031579
1,323,67.9444794031579
1,324,64.76942434421052
1,325,57.37793593377193
2,301,53.58037118523392
2,302,48.683076441432746
2,303,44.30576963733918
2,304,41.28500838631579
2,305,39.66656181502923
2,306,38.85670284470759
2,307,38.308744884093564
2,308,38.294759880730986
2,309,40.32385707801169
2,310,44.62233930815788
2,311,47.570632795146196
2,312,52.29756474570174
2,313,54.98395722298245
2,314,57.80638565701755
2,315,59.942277443479526
2,316,60.55126088362572
2,317,61.48062807997076
2,318,61.483170810175444
2,319,60.383440809239765
2,320,59.20997168909357
2,321,63.05330554728071
2,322,61.02420835283625
2,323,58.17253853137427
2,324,106.47452028947372
2,325,99.42749292105265
3,301,90.33972947894738
3,302,82.21689211052632
3,303,76.61135576842105
3,304,73.60805285263157
3,305,72.1052217736842
3,306,71.08839256842104
3,307,71.06244101578947
3,308,74.82777602105263
3,309,82.80434098421051
3,310,88.27540106315787
3,311,97.0470273631579
3,312,102.03208556842105
3,313,107.26958163157899
3,314,111.23309216315789
3,315,112.3631645263158
3,316,114.08776344736843
3,317,114.09248191578946
3,318,112.05174583157896
3,319,109.87417426842107
3,320,117.00613400526316
3,321,113.24079900526317
3,322,107.94904057368423
3,323,43.77285834122807
3,324,40.87574708976609
3,325,37.13966656356725
4,301,33.80027786766082
4,302,31.495779593684208
4,303,30.26108839497076
4,304,29.643257840292392
4,305,29.22522805590643
4,306,29.21455908426901
4,307,30.762530141988304
4,308,34.0417846268421
4,309,36.2909982148538
4,310,39.89711124929825
4,311,41.94652406701755
4,312,44.09971689298246
4,313,45.729160111520464
4,314,46.19374541637426
4,315,46.902747195029235
4,316,46.904687009824556
4,317,46.065717730760234
4,318,45.17049386590643
4,319,48.102521757719295
4,320,46.55455070216374
4,321,44.379050013625736
4,322,41.99828300307018
4,323,39.21862220774853
4,324,35.6340044055848
4,325,32.42999633248538
5,301,30.218923664210525
5,302,29.034287514093574
5,303,28.44150414406432
5,304,28.040421513099414
5,305,28.03018506733918
5,306,29.515400541637423
5,307,32.661712277105266
5,308,34.81974153046783
5,309,38.27966079324562
5,310,40.24598930754386
5,311,42.31189053245614
5,312,43.8752752421345
5,313,44.321026007602335
5,314,45.00128447090643
5,315,45.00314564456141
5,316,44.19818863356725
5,317,43.339257628099425
5,318,46.15241952429824
5,319,44.667204052076016
5,320,42.579899337397656
5,321,80.44741532982457
5,322,75.12299465146198
5,323,68.25668449520468
5,324,62.119429594619874
5,325,57.88413546947368
6,301,55.61497326643275
6,302,54.479500895672516
6,303,53.71122994058479
6,304,53.69162210081871
6,305,56.5365418825731
6,306,62.563279854736855
6,307,66.69696969216375
6,308,73.32442067438596
6,309,77.09090909614035
6,310,81.04812834385964
6,311,84.04278074549707
6,312,84.89661319766083
6,313,86.19964349356725
6,314,86.20320855859649
6,315,84.66131907274854
6,316,83.0160427805848
6,317,88.40463458175441
6,318,85.5597148039766
6,319,81.5614973223392
6,320,73.94063908991228
6,321,69.04687008406434
6,322,62.735923249269
6,323,57.09506396564327
6,324,53.20233039473683
6,325,51.116703369883034
7,301,50.07307067616958
7,302,49.36693928362572
7,303,49.34891737207601
7,304,51.963733347953216
7,305,57.503014572368414
7,306,61.302361849415206
7,307,67.39376900219298
7,308,70.85561497807016
7,309,74.49276502192983
7,310,77.24520289108187
7,311,78.02997536549707
7,312,79.22761350511696
7,313,79.23089021929823
7,314,77.81371238304094
7,315,76.30150990862572
7,316,81.25425972587719
7,317,78.63944375365497
7,318,74.96461150950292
7,319,101.15079427500001
