timepoint,zone,gross_load
1,301,43.908619064210534
1,302,39.43644490026316
1,303,73.18103177368421
1,304,30.08553528473684
1,305,28.8658514218421
1,306,55.29233511789474
1,307,50.82016095394735
1,308,69.521980185
1,309,71.1482253355263
1,310,79.2794510881579
1,311,0.0
1,312,0.0
1,313,107.73874122236839
1,314,78.87288980052632
1,315,128.8799281792105
1,316,40.65612876315789
1,317,0.0
1,318,135.38490878131577
1,319,73.58759306131579
1,320,52.0398448168421
1,321,0.0
1,322,0.0
1,323,0.0
1,324,0.0
1,325,0.0
2,301,44.74237181684211
2,302,40.18527839105263
2,303,74.57061969473685
2,304,30.656810318947365
2,305,29.413966657368423
2,306,56.34224599157894
2,307,51.78515256578947
2,308,70.84208871
2,309,72.49921359210526
2,310,80.78483800263159
2,311,0.0
2,312,0.0
2,313,109.78452343947369
2,314,80.37055678210525
2,315,131.3271469068421
2,316,41.42812205263158
2,317,0.0
2,318,137.95564643526316
2,319,74.98490091526314
2,320,53.02799622736842
2,321,0.0
2,322,0.0
2,323,0.0
2,324,0.0
2,325,0.0
3,301,47.9216734863158
3,302,43.04076229789474
3,303,79.86945581052633
3,304,32.83522072210526
3,305,31.50406312526316
3,306,60.3458110568421
3,307,55.46489986842105
3,308,75.87598301999999
3,309,77.65085981578947
3,310,86.52524379473682
3,311,0.0
3,312,0.0
3,313,117.58558772105262
3,314,86.08152459578947
3,315,140.65898606631578
3,316,44.371919894736834
3,317,0.0
3,318,147.7584932494737
3,319,80.31317500947368
3,320,56.79605746526315
3,321,0.0
3,322,0.0
3,323,0.0
3,324,0.0
3,325,0.0
4,301,51.14627241157894
4,302,45.93692985114034
4,303,85.24378735263157
4,304,35.044668133859645
4,305,33.62393834464912
4,306,64.40641711087719
4,307,59.19707455043858
4,308,80.981597985
4,309,82.87590437061402
4,310,92.3474362986842
4,311,0.0
4,312,0.0
4,313,125.4977980469298
4,314,91.87385970228068
4,315,150.12378105991226
4,316,47.357659640350874
4,317,0.0
4,318,157.70100660236838
4,319,85.71736394903508
4,320,60.61780433964912
4,321,0.0
4,322,0.0
4,323,0.0
4,324,0.0
4,325,0.0
5,301,53.169078334736845
5,302,47.75370924508771
5,303,88.61513055789474
5,304,36.43066478491228
5,305,34.9537459422807
5,306,66.95365419929824
5,307,61.53828510964912
5,308,84.18437403
5,309,86.15359915350876
