,hour,SegmentOffer,SegmentDispatch,SegmentEmissions,Commitment,Startup,Shutdown,MaxDual,MinDual,DMaxDual,DMinDual,RampMaxDual,RampMinDual,StartShutDual,Zone,LMP,MarginalCost,Profit,PreviousOffer,AvailableSegmentCapacity
302_CT_4-1,1,33.791603,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,296.718859,0.000000,0.000000,0.000000,0.000000,0.000000,302,22.732463,33.791603,-0.0,33.791603,11.000000
302_CT_4-2,1,38.382410,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,301.309666,0.000000,0.000000,0.000000,0.000000,0.000000,302,22.732463,38.382410,-0.0,38.382410,11.000000
302_CT_4-3,1,38.635080,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,301.562336,0.000000,0.000000,0.000000,0.000000,0.000000,302,22.732463,38.635080,-0.0,38.635080,11.000000
307_CT_1-0,1,27.894691,0.000000,0.000000,1.000000,0.000000,0.000000,1972.105309,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,307,22.732463,27.894691,-0.0,27.894691,22.000000
307_CT_1-1,1,27.894691,0.000000,0.000000,1.000000,0.000000,0.000000,1972.105309,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,307,22.732463,27.894691,-0.0,27.894691,11.000000
307_CT_1-2,1,29.220233,0.000000,0.000000,1.000000,0.000000,0.000000,1970.779767,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,307,22.732463,29.220233,-0.0,29.220233,11.000000
307_CT_1-3,1,35.474770,0.000000,0.000000,1.000000,0.000000,0.000000,1964.525230,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,307,22.732463,35.474770,-0.0,35.474770,11.000000
307_CT_2-0,1,27.894691,0.000000,0.000000,1.000000,0.000000,0.000000,1972.105309,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,307,22.732463,27.894691,-0.0,27.894691,22.000000
307_CT_2-1,1,27.894691,0.000000,0.000000,1.000000,0.000000,0.000000,1972.105309,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,307,22.732463,27.894691,-0.0,27.894691,11.000000
307_CT_2-2,1,29.220233,0.000000,0.000000,1.000000,0.000000,0.000000,1970.779767,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,307,22.732463,29.220233,-0.0,29.220233,11.000000
307_CT_2-3,1,35.474770,0.000000,0.000000,1.000000,0.000000,0.000000,1964.525230,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,307,22.732463,35.474770,-0.0,35.474770,11.000000
313_CC_1-0,1,15.731579,170.000000,36.823878,1.000000,0.000000,0.000000,1236.288977,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,313,22.732463,15.731579,1190.1502799999998,15.731579,170.000000
313_CC_1-1,1,15.731579,61.666667,13.357681,1.000000,0.000000,0.000000,1236.288977,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,313,22.732463,15.731579,431.72118233362795,15.731579,61.666667
313_CC_1-2,1,26.755735,0.000000,0.000000,1.000000,0.000000,0.000000,1225.264821,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,313,22.732463,26.755735,-0.0,26.755735,61.666667
313_CC_1-3,1,33.752731,0.000000,0.000000,1.000000,0.000000,0.000000,1218.267825,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,313,22.732463,33.752731,-0.0,33.752731,61.666667
315_STEAM_1-0,1,75.436777,0.000000,0.000000,1.000000,0.000000,0.000000,510.317826,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,315,22.732463,75.436777,-0.0,75.436777,5.000000
315_STEAM_1-1,1,75.436777,0.000000,0.000000,1.000000,0.000000,0.000000,510.317826,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,315,22.732463,75.436777,-0.0,75.436777,2.333333
315_STEAM_1-2,1,100.399529,0.000000,0.000000,1.000000,0.000000,0.000000,485.355073,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,315,22.732463,100.399529,-0.0,100.399529,2.333333
315_STEAM_1-3,1,124.099655,0.000000,0.000000,1.000000,0.000000,0.000000,461.654947,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,315,22.732463,124.099655,-0.0,124.099655,2.333333
315_STEAM_2-0,1,75.436777,0.000000,0.000000,1.000000,0.000000,0.000000,510.317826,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,315,22.732463,75.436777,-0.0,75.436777,5.000000
