,flow (MWh),congestion price from ($/MWh),congestion price to ($/MWh)
C7-12,-89.221598,0.000000,0.000000
C7-13,-62.941476,0.000000,0.000000
C7-14,-71.765509,0.000000,0.000000
C7-15,-76.410067,0.000000,0.000000
C7-16,-91.488800,0.000000,0.000000
C7-17,-106.762836,0.000000,0.000000
C7-18,-65.281348,0.000000,0.000000
C7-19,-47.321075,0.000000,0.000000
C7-20,-65.321814,0.000000,0.000000
C7-21,-81.679247,0.000000,0.000000
C7-22,-93.987836,0.000000,0.000000
C7-23,-137.518869,0.000000,0.000000
C7-24,-155.730142,0.000000,0.000000
C8-1,-50.934125,0.000000,0.000000
C8-2,-48.474162,0.000000,0.000000
C8-3,-40.222291,0.000000,0.000000
C8-4,-46.639461,0.000000,0.000000
C8-5,-47.235834,0.000000,0.000000
C8-6,-50.083420,0.000000,0.000000
C8-7,-56.118320,0.000000,0.000000
C8-8,-59.305381,0.000000,0.000000
C8-9,-61.178339,0.000000,0.000000
C8-10,-65.961120,0.000000,0.000000
C8-11,-72.650336,0.000000,0.000000
C8-12,-69.662158,0.000000,0.000000
C8-13,-70.088359,0.000000,0.000000
C8-14,-71.635224,0.000000,0.000000
C8-15,-69.051900,0.000000,0.000000
C8-16,-64.965825,0.000000,0.000000
C8-17,-67.647563,0.000000,0.000000
C8-18,-73.904075,0.000000,0.000000
C8-19,-72.916024,0.000000,0.000000
C8-20,-70.332144,0.000000,0.000000
C8-21,-64.865170,0.000000,0.000000
C8-22,-59.814867,0.000000,0.000000
C8-23,-57.164460,0.000000,0.000000
C8-24,-53.451665,0.000000,0.000000
C9-1,4.836572,0.000000,0.000000
C9-2,7.135287,0.000000,0.000000
C9-3,-0.656303,0.000000,0.000000
C9-4,8.813223,0.000000,0.000000
C9-5,8.244369,0.000000,0.000000
C9-6,5.679412,0.000000,0.000000
C9-7,0.195500,0.000000,0.000000
C9-8,-4.488634,0.000000,0.000000
C9-9,-12.028772,0.000000,0.000000
C9-10,-22.561500,0.000000,0.000000
C9-11,-43.477789,0.000000,0.000000
C9-12,-56.182946,0.000000,0.000000
C9-13,-70.080411,0.000000,0.000000
C9-14,-77.491433,0.000000,0.000000
C9-15,-69.047772,0.000000,0.000000
C9-16,-54.200453,0.000000,0.000000
C9-17,-48.263065,0.000000,0.000000
C9-18,-43.731134,0.000000,0.000000
C9-19,-36.031549,0.000000,0.000000
C9-20,-33.121873,0.000000,0.000000
C9-21,-31.206558,0.000000,0.000000
C9-22,-28.863460,0.000000,0.000000
C9-23,-35.130817,0.000000,0.000000
C9-24,-38.039888,0.000000,0.000000
C10-1,-33.997595,0.000000,0.000000
C10-2,-30.812411,0.000000,0.000000
C10-3,-35.448810,0.000000,0.000000
C10-4,-28.472896,0.000000,0.000000
C10-5,-29.256523,0.000000,0.000000
C10-6,-32.848757,0.000000,0.000000
C10-7,-40.509220,0.000000,0.000000
C10-8,-46.321860,0.000000,0.000000
C10-9,-54.469129,0.000000,0.000000
C10-10,-63.354662,0.000000,0.000000
C10-11,-78.150225,0.000000,0.000000
C10-12,-87.241465,0.000000,0.000000
C10-13,-95.820604,0.000000,0.000000
C10-14,-100.687372,0.000000,0.000000
C10-15,-94.761941,0.000000,0.000000
C10-16,-84.566294,0.000000,0.000000
C10-17,-81.654308,0.000000,0.000000
C10-18,-84.623868,0.000000,0.000000
C10-19,-78.765460,0.000000,0.000000
C10-20,-75.020997,0.000000,0.000000
C10-21,-71.468931,0.000000,0.000000
C10-22,-66.580429,0.000000,0.000000
C10-23,-66.430807,0.000000,0.000000
