timepoint,zone,gross_load
1,301,67.41789871578949
1,302,68.45265806842106
1,303,68.45548914947369
1,304,67.23104749894738
1,305,65.92450456105264
1,306,70.2036804031579
1,307,67.9444794031579
1,308,64.76942434421052
1,309,61.152720985263166
1,310,57.63652091368422
1,311,53.26958162842106
1,312,49.24237182000001
1,313,45.77996225052632
1,314,44.01053790631579
1,315,42.58367411052632
1,316,41.70179301789474
1,317,41.54891475157895
1,318,42.483170807368424
1,319,43.908619064210534
1,320,44.74237181684211
1,321,47.9216734863158
1,322,51.14627241157894
1,323,53.169078334736845
1,324,54.0311418663158
1,325,60.55126088362572
2,301,61.48062807997076
2,302,61.483170810175444
2,303,60.383440809239765
2,304,59.20997168909357
2,305,63.05330554728071
2,306,61.02420835283625
2,307,58.17253853137427
2,308,54.9242031071345
2,309,51.76613452432749
2,310,47.84397609219298
2,311,44.22694506055555
2,312,41.11718831760234
2,313,39.52798311956139
2,314,38.24644804371345
2,315,37.45438817347953
2,316,37.317080841695905
2,317,38.1561811880994
2,318,39.43644490026316
2,319,40.18527839105263
2,320,43.04076229789474
2,321,45.93692985114034
2,322,47.75370924508771
2,323,48.52797000956141
2,324,112.3631645263158
2,325,114.08776344736843
3,301,114.09248191578946
3,302,112.05174583157896
3,303,109.87417426842107
3,304,117.00613400526316
3,305,113.24079900526317
3,306,107.94904057368423
3,307,101.92120164210525
3,308,96.0608681894737
3,309,88.78263604736843
3,310,82.07061970000001
3,311,76.29993708421053
3,312,73.35089651052631
3,313,70.97279018421052
3,314,69.5029883631579
3,315,69.24819125263159
3,316,70.80528467894736
3,317,73.18103177368421
3,318,74.57061969473685
3,319,79.86945581052633
3,320,85.24378735263157
3,321,88.61513055789474
3,322,90.05190311052633
3,323,46.19374541637426
3,324,46.902747195029235
3,325,46.904687009824556
4,301,46.065717730760234
4,302,45.17049386590643
4,303,48.102521757719295
4,304,46.55455070216374
4,305,44.379050013625736
4,306,41.900938452865496
4,307,39.491690255672516
4,308,36.49952815280701
4,309,33.740143654444445
4,310,31.367751912397665
4,311,30.15536856543859
4,312,29.177702631286547
4,313,28.57345077152046
4,314,28.468700848304092
4,315,29.108839256900584
4,316,30.08553528473684
4,317,30.656810318947365
4,318,32.83522072210526
4,319,35.044668133859645
4,320,36.43066478491228
4,321,37.021337945438596
4,322,44.321026007602335
4,323,45.00128447090643
4,324,45.00314564456141
4,325,44.19818863356725
5,301,43.339257628099425
5,302,46.15241952429824
5,303,44.667204052076016
5,304,42.579899337397656
5,305,40.20225175883041
5,306,37.890675785847954
5,307,35.019817552017535
5,308,32.37229999277778
5,309,30.09608629432749
5,310,28.932853623596486
5,311,27.99482279488304
5,312,27.415067632134498
5,313,27.314564327426897
5,314,27.92875117891813
5,315,28.8658514218421
5,316,29.413966657368423
5,317,31.50406312526316
5,318,33.62393834464912
5,319,34.9537459422807
5,320,35.5204728935965
5,321,84.89661319766083
5,322,86.19964349356725
5,323,86.20320855859649
5,324,84.66131907274854
5,325,83.0160427805848
6,301,88.40463458175441
6,302,85.5597148039766
6,303,81.5614973223392
6,304,77.00713012959064
6,305,72.57932263204678
6,306,67.08021390245612
6,307,62.00891266222222
6,308,57.64884135251463
6,309,55.42067736350878
6,310,53.62388591695906
6,311,52.51336898549707
6,312,52.32085561309941
6,313,53.49732620187134
6,314,55.29233511789474
6,315,56.34224599157894
6,316,60.3458110568421
6,317,64.40641711087719
6,318,66.95365419929824
6,319,68.03921568350877
6,320,78.02997536549707
6,321,79.22761350511696
6,322,79.23089021929823
6,323,77.81371238304094
6,324,76.30150990862572
6,325,81.25425972587719
7,301,78.63944375365497
7,302,74.96461150950292
7,303,70.77861225146198
7,304,66.70893624269006
7,305,61.65460836622807
7,306,56.99348590277776
7,307,52.98606741959063
7,308,50.93812257675438
7,309,49.2866598501462
7,310,48.26596414108187
7,311,48.08902170321637
7,312,49.170336582602324
7,313,50.82016095394735
7,314,51.78515256578947
7,315,55.46489986842105
7,316,59.19707455043858
7,317,61.53828510964912
7,318,62.53604382675439
7,319,106.74500629999996
7,320,108.383375275
7,321,108.38785781999998
7,322,106.44915853999998
7,323,104.38046555500001
7,324,111.155827305
7,325,107.57875905500002
8,301,102.55158854499997
8,302,96.82514156
8,303,91.25782478
8,304,84.343504245
8,305,77.967088715
8,306,72.48494023
8,307,69.68335168499998
8,308,67.424150675
8,309,66.027838945
8,310,65.78578169
