,flow (MWh),congestion price from ($/MWh),congestion price to ($/MWh)
C7-11,-46.047124,0.000000,0.000000
C7-12,8.453645,0.000000,0.000000
C7-13,-16.877741,0.000000,0.000000
C7-14,-21.464838,0.000000,0.000000
C7-15,-35.878830,0.000000,0.000000
C7-16,-51.447604,0.000000,0.000000
C7-17,-124.568647,0.000000,0.000000
C7-18,-167.114991,0.000000,0.000000
C7-19,-172.516265,0.000000,0.000000
C7-20,-178.428514,0.000000,0.000000
C7-21,-171.861283,0.000000,0.000000
C7-22,-160.743905,0.000000,0.000000
C7-23,-172.227594,0.000000,0.000000
C7-24,-162.679143,0.000000,0.000000
C8-1,-42.322200,0.000000,0.000000
C8-2,-54.909693,0.000000,0.000000
C8-3,-42.520483,0.000000,0.000000
C8-4,-49.899898,0.000000,0.000000
C8-5,-51.923898,0.000000,0.000000
C8-6,-49.493494,0.000000,0.000000
C8-7,-44.770461,0.000000,0.000000
C8-8,-51.136472,0.000000,0.000000
C8-9,-51.407185,0.000000,0.000000
C8-10,-53.382940,0.000000,0.000000
C8-11,-52.638060,0.000000,0.000000
C8-12,-51.247386,0.000000,0.000000
C8-13,-54.288653,0.000000,0.000000
C8-14,-54.194512,0.000000,0.000000
C8-15,-51.554767,0.000000,0.000000
C8-16,-50.752141,0.000000,0.000000
C8-17,-54.055887,0.000000,0.000000
C8-18,-61.436835,0.000000,0.000000
C8-19,-65.243965,0.000000,0.000000
C8-20,-66.840169,0.000000,0.000000
C8-21,-64.980371,0.000000,0.000000
C8-22,-62.640828,0.000000,0.000000
C8-23,-57.268741,0.000000,0.000000
C8-24,-53.196889,0.000000,0.000000
C9-1,-3.284307,0.000000,0.000000
C9-2,-17.214580,0.000000,0.000000
C9-3,4.939062,0.000000,0.000000
C9-4,-7.529145,0.000000,0.000000
C9-5,-36.139472,0.000000,0.000000
C9-6,-45.793900,0.000000,0.000000
C9-7,-40.684544,0.000000,0.000000
C9-8,-53.152884,0.000000,0.000000
C9-9,-52.835311,0.000000,0.000000
C9-10,-46.735237,0.000000,0.000000
C9-11,-26.542391,0.000000,0.000000
C9-12,-14.643668,0.000000,0.000000
C9-13,-17.944982,0.000000,0.000000
C9-14,-19.410737,0.000000,0.000000
C9-15,-20.975712,0.000000,0.000000
C9-16,-23.169327,0.000000,0.000000
C9-17,-32.993871,0.000000,0.000000
C9-18,-40.380014,0.000000,0.000000
C9-19,-48.560271,0.000000,0.000000
C9-20,-54.141886,0.000000,0.000000
C9-21,-51.493471,0.000000,0.000000
C9-22,-48.545510,0.000000,0.000000
C9-23,-40.334579,0.000000,0.000000
C9-24,-39.447347,0.000000,0.000000
C10-1,-38.825739,0.000000,0.000000
C10-2,-45.689902,0.000000,0.000000
C10-3,-30.772299,0.000000,0.000000
C10-4,-37.713114,0.000000,0.000000
C10-5,-56.014801,0.000000,0.000000
C10-6,-63.191950,0.000000,0.000000
C10-7,-61.342035,0.000000,0.000000
C10-8,-69.794553,0.000000,0.000000
C10-9,-72.274943,0.000000,0.000000
C10-10,-70.962537,0.000000,0.000000
C10-11,-59.636246,0.000000,0.000000
C10-12,-52.735966,0.000000,0.000000
C10-13,-54.672231,0.000000,0.000000
C10-14,-54.861548,0.000000,0.000000
C10-15,-55.234191,0.000000,0.000000
C10-16,-55.990028,0.000000,0.000000
C10-17,-62.731248,0.000000,0.000000
C10-18,-72.371871,0.000000,0.000000
C10-19,-78.902161,0.000000,0.000000
C10-20,-81.265346,0.000000,0.000000
C10-21,-78.217251,0.000000,0.000000
C10-22,-74.379286,0.000000,0.000000
C10-23,-66.510461,0.000000,0.000000
C10-24,-63.622026,0.000000,0.000000
C11-1,-53.286144,0.000000,0.000000
C11-2,-51.229832,0.000000,0.000000
C11-3,-49.568966,0.000000,0.000000
C11-4,-48.540810,0.000000,0.000000
C11-5,-48.362860,0.000000,0.000000
C11-6,-49.450332,0.000000,0.000000
C11-7,-51.111199,0.000000,0.000000
C11-8,-52.080038,0.000000,0.000000
C11-9,-55.777444,0.000000,0.000000
C11-10,-59.534166,0.000000,0.000000
C11-11,-61.887061,0.000000,0.000000
C11-12,-62.895444,0.000000,0.000000
C11-13,-62.836128,0.000000,0.000000
C11-14,-61.788200,0.000000,0.000000
C11-15,-60.720500,0.000000,0.000000
C11-16,-59.751661,0.000000,0.000000
C11-17,-60.503005,0.000000,0.000000
C11-18,-67.680323,0.000000,0.000000
C11-19,-69.637773,0.000000,0.000000
C11-20,-68.036223,0.000000,0.000000
C11-21,-66.078773,0.000000,0.000000
C11-22,-63.271117,0.000000,0.000000
C11-23,-59.395761,0.000000,0.000000
C11-24,-55.935622,0.000000,0.000000
C12-1-1,-84.540834,0.000000,0.000000
C12-1-2,-84.821689,0.000000,0.000000
C12-1-3,-84.946641,0.000000,0.000000
C12-1-4,-83.157008,0.000000,0.000000
C12-1-5,-70.259718,0.000000,0.000000
C12-1-6,-64.784153,0.000000,0.000000
C12-1-7,-65.535727,0.000000,0.000000
C12-1-8,-65.051338,0.000000,0.000000
C12-1-9,-50.381744,0.000000,0.000000
C12-1-10,-64.170255,0.000000,0.000000
C12-1-11,-87.509021,0.000000,0.000000
C12-1-12,-95.394941,0.000000,0.000000
C12-1-13,-95.945093,0.000000,0.000000
C12-1-14,-94.068697,0.000000,0.000000
