,flow (MWh),congestion price from ($/MWh),congestion price to ($/MWh)
C4-12,-1.927186,0.000000,0.000000
C4-13,-1.979305,0.000000,0.000000
C4-14,-1.943416,0.000000,0.000000
C4-15,-1.893654,0.000000,0.000000
C4-16,-1.907285,0.000000,0.000000
C4-17,-0.866231,0.000000,0.000000
C4-18,-1.876026,0.000000,0.000000
C4-19,-1.521290,0.000000,0.000000
C4-20,-1.852691,0.000000,0.000000
C4-21,-1.830598,0.000000,0.000000
C4-22,-1.781186,0.000000,0.000000
C4-23,-1.824943,0.000000,0.000000
C4-24,-1.830251,0.000000,0.000000
C4-25,-1.805471,0.000000,0.000000
C4-26,-1.653160,0.000000,0.000000
C4-27,-1.807185,0.000000,0.000000
C4-28,-1.552678,0.000000,0.000000
C4-29,-1.821686,0.000000,0.000000
C4-30,-1.767416,0.000000,0.000000
C4-31,-1.805671,0.000000,0.000000
C4-32,-1.788706,0.000000,0.000000
C4-33,-1.809749,0.000000,0.000000
C4-34,-1.791892,0.000000,0.000000
C4-35,-1.794554,0.000000,0.000000
C4-36,-1.798352,0.000000,0.000000
C4-37,-1.818077,0.000000,0.000000
C4-38,-1.824723,0.000000,0.000000
C4-39,-1.841205,0.000000,0.000000
C4-40,-1.843142,0.000000,0.000000
C4-41,-1.847767,0.000000,0.000000
C4-42,-1.899367,0.000000,0.000000
C4-43,-1.725525,0.000000,0.000000
C4-44,-1.886093,0.000000,0.000000
C4-45,-1.512658,0.000000,0.000000
C4-46,-2.394205,0.000000,0.000000
C4-47,-1.337974,0.000000,0.000000
C4-48,-1.166498,0.000000,0.000000
C5-1,0.984175,0.000000,0.000000
C5-2,2.162122,0.000000,0.000000
C5-3,0.974144,0.000000,0.000000
C5-4,0.956055,0.000000,0.000000
C5-5,1.022251,0.000000,0.000000
C5-6,1.468411,0.000000,0.000000
C5-7,2.170726,0.000000,0.000000
C5-8,1.015045,0.000000,0.000000
C5-9,1.098708,0.000000,0.000000
C5-10,1.096286,0.000000,0.000000
C5-11,1.044771,0.000000,0.000000
C5-12,1.169458,0.000000,0.000000
C5-13,0.992663,0.000000,0.000000
C5-14,1.104623,0.000000,0.000000
C5-15,1.214386,0.000000,0.000000
C5-16,1.189842,0.000000,0.000000
C5-17,1.589354,0.000000,0.000000
C5-18,1.298293,0.000000,0.000000
C5-19,2.114349,0.000000,0.000000
C5-20,1.437089,0.000000,0.000000
C5-21,1.516838,0.000000,0.000000
C5-22,1.669785,0.000000,0.000000
C5-23,1.632623,0.000000,0.000000
C5-24,1.681221,0.000000,0.000000
C5-25,1.723178,0.000000,0.000000
C5-26,2.057621,0.000000,0.000000
C5-27,1.754312,0.000000,0.000000
C5-28,1.915480,0.000000,0.000000
C5-29,1.813886,0.000000,0.000000
C5-30,1.955855,0.000000,0.000000
C5-31,1.900104,0.000000,0.000000
C5-32,1.953184,0.000000,0.000000
C5-33,1.954746,0.000000,0.000000
C5-34,1.998004,0.000000,0.000000
C5-35,2.010794,0.000000,0.000000
C5-36,2.003752,0.000000,0.000000
C5-37,2.007818,0.000000,0.000000
C5-38,1.995495,0.000000,0.000000
C5-39,1.997633,0.000000,0.000000
C5-40,1.984700,0.000000,0.000000
C5-41,1.982663,0.000000,0.000000
C5-42,1.908472,0.000000,0.000000
C5-43,1.845011,0.000000,0.000000
C5-44,1.965786,0.000000,0.000000
C5-45,1.626067,0.000000,0.000000
C5-46,0.865033,0.000000,0.000000
C5-47,1.461393,0.000000,0.000000
C5-48,1.305488,0.000000,0.000000
C6-1,6.969870,0.000000,0.000000
C6-2,14.583333,0.000000,0.000000
C6-3,6.920216,0.000000,0.000000
C6-4,6.795207,0.000000,0.000000
C6-5,7.187041,0.000000,0.000000
C6-6,14.222467,0.000000,0.000000
C6-7,14.583333,0.000000,0.000000
C6-8,7.210984,0.000000,0.000000
C6-9,7.765215,0.000000,0.000000
C6-10,7.785355,0.000000,0.000000
C6-11,7.457777,0.000000,0.000000
C6-12,8.247778,0.000000,0.000000
C6-13,7.019860,0.000000,0.000000
C6-14,7.779939,0.000000,0.000000
C6-15,8.581036,0.000000,0.000000
C6-16,8.480816,0.000000,0.000000
C6-17,14.583333,0.000000,0.000000
C6-18,9.293671,0.000000,0.000000
C6-19,14.583333,0.000000,0.000000
C6-20,10.243254,0.000000,0.000000
C6-21,10.815335,0.000000,0.000000
C6-22,11.834724,0.000000,0.000000
C6-23,11.615957,0.000000,0.000000
C6-24,11.986618,0.000000,0.000000
C6-25,12.326959,0.000000,0.000000
C6-26,14.583333,0.000000,0.000000
C6-27,12.722480,0.000000,0.000000
C6-28,14.583333,0.000000,0.000000
C6-29,13.111357,0.000000,0.000000
C6-30,14.079395,0.000000,0.000000
C6-31,13.756755,0.000000,0.000000
C6-32,14.149281,0.000000,0.000000
C6-33,14.128481,0.000000,0.000000
C6-34,14.455267,0.000000,0.000000
C6-35,14.583333,0.000000,36.682861
C6-36,14.583333,0.000000,36.682861
C6-37,14.583333,0.000000,36.682861
C6-38,14.583333,0.000000,36.682861
C6-39,14.583333,0.000000,36.682861
C6-40,14.583333,0.000000,36.682861
C6-41,14.583333,0.000000,36.682861
C6-42,14.122314,0.000000,0.000000
C6-43,14.583333,0.000000,0.000000
C6-44,14.583333,0.000000,0.000000
C6-45,14.583333,0.000000,0.000000
C6-46,7.585102,0.000000,0.000000
C6-47,14.583333,0.000000,0.000000
C6-48,14.583333,0.000000,0.000000
C7-1,-4.019025,0.000000,0.000000
C7-2,8.645847,0.000000,0.000000
C7-3,-4.229055,0.000000,0.000000
C7-4,-4.473504,0.000000,0.000000
C7-5,-3.723571,0.000000,0.000000
C7-6,-0.033958,0.000000,0.000000
C7-7,8.567585,0.000000,0.000000
C7-8,-4.044043,0.000000,0.000000
C7-9,-3.141847,0.000000,0.000000
C7-10,-3.251783,0.000000,0.000000
C7-11,-3.942267,0.000000,0.000000
C7-12,-2.617130,0.000000,0.000000
C7-13,-4.247618,0.000000,0.000000
C7-14,-3.170644,0.000000,0.000000
C7-15,-2.128126,0.000000,0.000000
C7-16,-2.535447,0.000000,0.000000
C7-17,0.654203,0.000000,0.000000
C7-18,-1.656303,0.000000,0.000000
C7-19,7.042566,0.000000,0.000000
C7-20,-0.472643,0.000000,0.000000
C7-21,0.211358,0.000000,0.000000
C7-22,1.728269,0.000000,0.000000
C7-23,1.106477,0.000000,0.000000
C7-24,1.379765,0.000000,0.000000
C7-25,1.766420,0.000000,0.000000
C7-26,5.228631,0.000000,0.000000
C7-27,1.658177,0.000000,0.000000
C7-28,3.048525,0.000000,0.000000
C7-29,2.055632,0.000000,0.000000
C7-30,3.472177,0.000000,0.000000
C7-31,2.700896,0.000000,0.000000
C7-32,3.157995,0.000000,0.000000
C7-33,3.092202,0.000000,0.000000
C7-34,3.466807,0.000000,0.000000
C7-35,3.532209,0.000000,0.000000
C7-36,3.456446,0.000000,0.000000
C7-37,3.380884,0.000000,0.000000
C7-38,3.464610,0.000000,0.000000
C7-39,3.495752,0.000000,0.000000
C7-40,3.268246,0.000000,0.000000
C7-41,3.089448,0.000000,0.000000
C7-42,2.149808,0.000000,0.000000
C7-43,1.335303,0.000000,0.000000
C7-44,2.968833,0.000000,0.000000
C7-45,-0.015654,0.000000,0.000000
C7-46,-7.093155,0.000000,0.000000
C7-47,-1.513338,0.000000,0.000000
C7-48,-0.168344,0.000000,0.000000
C8-1,-4.388681,0.000000,0.000000
C8-2,-3.862372,0.000000,0.000000
C8-3,-4.417067,0.000000,0.000000
C8-4,-4.445181,0.000000,0.000000
C8-5,-4.427607,0.000000,0.000000
C8-6,-3.181133,0.000000,0.000000
C8-7,-3.943285,0.000000,0.000000
C8-8,-4.478187,0.000000,0.000000
C8-9,-4.447970,0.000000,0.000000
C8-10,-4.465688,0.000000,0.000000
C8-11,-4.521606,0.000000,0.000000
C8-12,-4.489680,0.000000,0.000000
C8-13,-4.492333,0.000000,0.000000
C8-14,-4.480692,0.000000,0.000000
C8-15,-4.454207,0.000000,0.000000
C8-16,-4.484327,0.000000,0.000000
C8-17,-3.471400,0.000000,0.000000
C8-18,-4.498654,0.000000,0.000000
C8-19,-4.169135,0.000000,0.000000
C8-20,-4.527693,0.000000,0.000000
C8-21,-4.533727,0.000000,0.000000
C8-22,-4.512443,0.000000,0.000000
C8-23,-4.587238,0.000000,0.000000
C8-24,-4.633281,0.000000,0.000000
C8-25,-4.620140,0.000000,0.000000
C8-26,-4.493047,0.000000,0.000000
